concurrency,request_index,ttft_s,e2e_s,n_tokens,error,level_wall_s
1,0,0.06891080900095403,0.8945254960563034,38,,41.75826991791837
1,1,0.03640849282965064,1.7111050558742136,76,,41.75826991791837
1,2,0.035977291874587536,2.871186400996521,128,,41.75826991791837
1,3,0.037791060050949454,2.870850307168439,128,,41.75826991791837
1,4,0.035037023946642876,1.620251348009333,72,,41.75826991791837
1,5,0.036403541918843985,0.8622572280000895,38,,41.75826991791837
1,6,0.0355635448358953,1.7100359029136598,76,,41.75826991791837
1,7,0.03772443300113082,2.871570385992527,128,,41.75826991791837
1,8,0.037045401986688375,2.8733334611169994,128,,41.75826991791837
1,9,0.03577251289971173,1.822826927062124,81,,41.75826991791837
1,10,0.03710172884166241,0.864088405855,38,,41.75826991791837
1,11,0.037145091919228435,1.713856155052781,76,,41.75826991791837
1,12,0.038632238982245326,2.8766000068280846,128,,41.75826991791837
1,13,0.034875245997682214,2.8745529709849507,128,,41.75826991791837
1,14,0.035588742000982165,2.874532137066126,128,,41.75826991791837
1,15,0.04198311804793775,0.8687237398698926,38,,41.75826991791837
1,16,0.03635644307360053,1.7138929329812527,76,,41.75826991791837
1,17,0.03537493594922125,2.8762686781119555,128,,41.75826991791837
1,18,0.03584010084159672,2.876482409890741,128,,41.75826991791837
1,19,0.035503551131114364,1.6015768072102219,71,,41.75826991791837
2,0,0.06646437593735754,0.7642178339883685,32,,21.713102862937376
2,1,0.06487010512501001,1.7499600150622427,76,,21.713102862937376
2,2,0.06315287109464407,2.9193140019197017,128,,21.713102862937376
2,3,0.06523865601047873,2.921091748867184,128,,21.713102862937376
2,4,0.06569144618697464,1.639262440148741,71,,21.713102862937376
2,5,0.06466133892536163,0.808010890847072,34,,21.713102862937376
2,6,0.058944209944456816,1.7460083779878914,76,,21.713102862937376
2,7,0.06569774798117578,2.9216273718047887,128,,21.713102862937376
2,8,0.06247284705750644,2.9180825101211667,128,,21.713102862937376
2,9,0.08649552497081459,2.3582339340355247,102,,21.713102862937376
2,10,0.06378229684196413,0.8743619578890502,37,,21.713102862937376
2,11,0.06581097398884594,1.7528801450971514,76,,21.713102862937376
2,12,0.06584977707825601,2.9234502371400595,128,,21.713102862937376
2,13,0.06556140910834074,2.9216428389772773,128,,21.713102862937376
2,14,0.06602923781611025,1.8648352329619229,81,,21.713102862937376
2,15,0.0645898119546473,0.7628752449527383,32,,21.713102862937376
2,16,0.061957980040460825,1.7487634250428528,76,,21.713102862937376
2,17,0.0656332338694483,2.9223396459128708,128,,21.713102862937376
2,18,0.06594091979786754,2.9230826878920197,128,,21.713102862937376
2,19,0.06562845618464053,2.3341321030166,102,,21.713102862937376
4,0,0.11430221213959157,0.8160913831088692,32,,11.627779860049486
4,1,0.1136043150909245,1.7632435141131282,74,,11.627779860049486
4,5,0.06572743412107229,0.879941247170791,37,,11.627779860049486
4,4,0.06290524918586016,1.8931822490412742,82,,11.627779860049486
4,3,0.06702436809428036,2.93742611608468,128,,11.627779860049486
4,2,0.09031693683937192,2.9864343379158527,128,,11.627779860049486
4,6,0.06661885813809931,1.7600199340377003,76,,11.627779860049486
4,9,0.061800098977983,1.6432506630662829,71,,11.627779860049486
4,10,0.06428391998633742,0.7658032970502973,32,,11.627779860049486
4,7,0.06803709408268332,2.936228445963934,128,,11.627779860049486
4,8,0.08669966203160584,2.9554970948956907,128,,11.627779860049486
4,11,0.06429324904456735,1.7579674019943923,76,,11.627779860049486
4,15,0.06604587798938155,0.7671305581461638,32,,11.627779860049486
4,14,0.06418183608911932,1.6461861201096326,71,,11.627779860049486
4,12,0.06573440693318844,2.935601290082559,128,,11.627779860049486
4,13,0.06439189403317869,2.9341425870079547,128,,11.627779860049486
4,16,0.06628525303676724,1.7617743641603738,76,,11.627779860049486
4,17,0.06532525992952287,2.9337152510415763,128,,11.627779860049486
4,18,0.06563470815308392,2.930655023083091,128,,11.627779860049486
4,19,0.06645136000588536,2.9279972498770803,128,,11.627779860049486
8,0,0.22285033389925957,0.9302429319359362,32,,6.703396721975878
8,5,0.12586900894530118,0.8369913869537413,32,,6.703396721975878
8,1,0.2223372678272426,1.885714212898165,74,,6.703396721975878
8,6,0.09948166902177036,1.8088534350972623,76,,6.703396721975878
8,4,0.15076939389109612,1.9738679970614612,81,,6.703396721975878
8,10,0.0659310610499233,0.8889568699523807,37,,6.703396721975878
8,9,0.06100876396521926,1.88497544801794,81,,6.703396721975878
8,3,0.1748807781841606,3.070487551158294,128,,6.703396721975878
8,2,0.19972096686251462,3.124193752883002,128,,6.703396721975878
8,7,0.07568148500286043,3.0499405118171126,128,,6.703396721975878
8,11,0.06636850209906697,1.7315851810853928,74,,6.703396721975878
8,8,0.08892316790297627,2.984893159940839,128,,6.703396721975878
8,15,0.1523142489604652,0.9063780251890421,34,,6.703396721975878
8,14,0.06889261095784605,1.275866731069982,54,,6.703396721975878
8,16,0.12636777595616877,1.7910279971547425,74,,6.703396721975878
8,12,0.06645259214565158,2.961059160064906,128,,6.703396721975878
8,13,0.06595368217676878,2.9536041680257767,128,,6.703396721975878
8,17,0.06850099610164762,2.9516759330872446,128,,6.703396721975878
8,19,0.06789838010445237,2.356432904023677,102,,6.703396721975878
8,18,0.06656765006482601,2.9425601130351424,128,,6.703396721975878
