file_name,chunk_id,status,Field_ground_truth,Field_predicted,Field_match,Learning_type_ground_truth,Learning_type_predicted,Learning_type_match,Level_ground_truth,Level_predicted,Level_match,Competency_ground_truth,Competency_predicted,Competency_match,all_fields_match
Decision Trees Revised.pptx,slide_41,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_08,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_02,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Intermediate,False,Decision Tree Modeling,Decision Tree Modeling,True,False
Decision Trees Revised.pptx,slide_48,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Machine Learning Workflow,False,False
Decision Trees Revised.pptx,slide_18,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_16,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Intermediate,False,Decision Tree Modeling,Decision Tree Modeling,True,False
Decision Trees Revised.pptx,slide_15,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Intermediate,False,Decision Tree Modeling,Decision Tree Modeling,True,False
Decision Trees Revised.pptx,slide_09,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_07,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_35,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_06,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_38,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Advanced,Intermediate,False,Decision Tree Modeling,Decision Tree Modeling,True,False
Decision Trees Revised.pptx,slide_28,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_03,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_49,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_51,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Intermediate,False,Decision Tree Modeling,Decision Tree Modeling,True,False
Decision Trees Revised.pptx,slide_14,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Beginner,Beginner,True,Decision Tree Modeling,Decision Tree Modeling,True,True
Decision Trees Revised.pptx,slide_45,scored,Machine Learning,Machine Learning,True,Visual,Visual,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
HandsOn1_Window_Functions.md,section_01,scored,SQL,SQL,True,Kinesthetic,Kinesthetic,True,Intermediate,Intermediate,True,Window Functions,Window Functions,True,True
Introduction to Pandas_.pptx,slide_36,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_13,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_27,scored,Data Science,Data Science,True,Visual,Visual,True,Intermediate,Intermediate,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_15,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_29,scored,Data Science,Data Science,True,Visual,Visual,True,Intermediate,Intermediate,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_19,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_09,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_26,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_28,scored,Data Science,Data Science,True,Visual,Visual,True,Intermediate,Intermediate,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_06,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Beginner,True,Pandas & Data Wrangling,Pandas & Data Wrangling,True,True
Introduction to Pandas_.pptx,slide_23,scored,Data Science,Data Science,True,Visual,Visual,True,Beginner,Intermediate,False,Pandas & Data Wrangling,Pandas & Data Wrangling,True,False
Lecture - Decision Trees.ipynb,section_04,scored,Machine Learning,Machine Learning,True,Kinesthetic,Kinesthetic,True,Intermediate,Intermediate,True,Decision Tree Modeling,Decision Tree Modeling,True,True
